abase,(v)降低自己、使卑下
connotation,(n)含蓄、言外之意
denote,(v)表示、預示、(符號)代表
notability,(n)值得注意的、顯著的
notate,(v)以符號表示
notch,(n)凹口、刻痕
notoriety,(n)惡名昭彰、聲名狼藉
notorious,(adj)惡名昭彰的
denounce,(v)指責、譴責
pronounced,(adj)明確的、明顯的
renounce,(v)聲明、放棄、拋棄
denunciate,(v)公開指責、譴責、抨擊
enunciate,(v)發音、清楚表達、闡明
nova,(n)新星
novice,(n)新手、初學者
supernova,(n)超新星
connubial,(adj)結婚的、夫婦的
nubile,(adj)吸引人的、性感的
annihilate,(v)殲滅、消滅、毀滅
annul,(v)宣告無效、取消
nihilism,(n)虛無主義、懷疑論
null,(adj)無效的、等於零的
nullify,(v)使無效、廢棄
enurmerate,(v)列舉、枚舉
numerology,(n)數字命理學
nutritious,(adj)營養的、滋養的
malodor,(n)惡臭;male(壞) + odor(氣味)
odoriferous,(adj)香的、芬芳的;odor(氣味) + i + fer(帶來)+ ous
odorless,(adj)無臭的
abominate,(v)厭惡、痛恨;ab(遠離) + omin(=omen 凶兆)
abominable,(adj)可惡的、極壞的;[類]loathsome(可惡的)
ominous,(adj)預兆的、不祥的
exonerate,(v)免除責任、宣布無罪;ex(免除) + oner(負擔) + ate
exoneration,(n)釋罪、免除
onerous,(adj)繁重的、麻煩的
acronym,(n)首字母縮略字;acro(高) + onym(名稱)
anonymity,(n)匿名、作者不詳;an(無) + onym(名稱) + ity
pseudonym,(n)假名、筆名;pseud(假) + onym(名稱) + ous
synonymous,(adj)同義的;syn(共同) + onym(名稱) + ous
opacity,(n)不透明性、晦澀
opalescence,(n)乳白色
oplaescent,(adj)發乳白光的
opaque,(adj)不透明的、難懂的
operable,(adj)可操作的、使用的
operetta,(n)小歌劇
myopia,(n)目光短淺、缺乏遠見;my(自己) + op(看、視力)
optimum,(adj)最好的、最有利的
synoptic,(adj)概要的
opulent,(adj)豐饒的、華麗的
opulence,(n)財產、豐富
inexorable,(adj)不為所動的、堅決不變的;in(不) + ex(出) + ora(說) + ble
oracular,(adj)神諭的、玄妙的、晦澀的
oration,(n)演講、演說
oratorio,(n)清唱劇
oratory,(n)演講術、雄辯術
orifice,(n)孔、洞
exorbitant,(adj)過分的、過度的
orbital,(adj)軌道的
foreordain,(v)預先注定;fore(先前) + ordain(命令)
ordain,(v)任命(神職)、頒發命令
ordinance,(n)法令、條例
ordnance,(n)大砲、軍械
inordinate,(adj)過度的、過分的;in(不) + ordin(正常) + ate
insubordinate,(adj)不服從的、違抗的;[類]disobedient; rebellious
subordinate,(adj)次要的、下級的;sub(下面) + ordin(順序) + ate
orient,(n)確定方向、使熟悉情況
adorn,(v)裝飾
unadorned,(adj)未裝飾的、原來的、樸素的
ornamental,(adj)裝飾的
ornate,(adj)裝飾華麗的
suborn,(v)收買、賄賂;sub(下面) + orn(裝飾)
osseous,(adj)骨的、多骨的
ossify,(v)硬化、僵化
appease,(v)使平靜、安撫
pacify,(v)安靜、撫慰
appall,(v)使驚駭、恐怖
impale,(v)穿刺、刺穿
pallid,(adj)蒼白的
paltry,(adj)不足取的、沒有價值的
impalpable,(adj)無法感觸到的、無形的
palpable,(adj)可觸知的、極其明瞭的;[類]tangible
palpitate,(v)(心臟)悸動、噗噗地跳
apparatus,(n)設備、儀器
apparel,(n)(精緻的)衣服
vituperation,(v)謾罵、辱罵
apparition,(n)幽靈、亡靈、幻影
disparage,(v)貶抑、輕蔑
disparate,(adj)不同的、異類的
disparity,(n)不同、不等;[類]difference ; inequality
nonpareil,(adj)無法匹敵的;non(沒有) + par(平等) + eil
parity,(n)同等、類似、相同
parody,(n)拙劣的模仿
paroxysm,(n)(疾病週期性)發作; (感情)爆發
parturition,(n)生產、分娩
compartment,(n)間隔、車廂
counterpart,(n)相對應的人或物
impart,(v)分給、給予、傳授
impartial,(adj)無私的、公平的
partial,(adj)局部的、偏袒的
partiality,(n)偏心、偏袒
particulate,(n)(汽車引擎排出的)微粒、顆粒
partisan,(n)支持者、黨派
partition,(n)分開、分割
impasse,(n)僵局、死路
surpass,(v)勝過、優於、大於;sur(超越) + pass(通過)
trespass,(v)侵犯、闖入私人領域
antipathy,(v)反感、厭惡
apathetic,(adj)無感情的;a(無) + path(感情) + etic
apathy,(n)無感情、漠然;a(無) + path(感情) + etic
compatible,(adj)和諧共處的、相容的;com(共同) + pat(感情) + ible
compassion,(n)同情、憐憫
compassionate,(adj)有同情心的
impassioned,(adj)充滿熱情的、慷慨激昂的
impassive,(adj)被動的、冷漠的、無動於衷的
passivity,(n)被動、消極
pathetic,(adj)引起憐憫的、令人難過的
pathogen,(n)病原體
pathological,(adj)病理上的
pathology,(n)病理學
pathos,(n)(文章、情況、藝術品)感染力；引起憐憫、感傷
unimpassioned,(adj)心平氣和的
compatriot,(n)同胞、同國人
expatriate,(v)驅逐出國、脫離國籍、流放
patriarchal,(adj)家長的、父權制的
patrician,(n)貴族
patrimony,(n)遺產、祖產
patriot,(n)愛國者、愛國主義
patronage,(n)贊助、資助；任命權
patron,(n)贊助人、資助人
patronize,(v)對...擺出高人一等的姿態
patronizing,(adj)自以為高人一等的；擺出恩賜態度的
repatriate,(v)把..遣返回國
impeccable,(adj)無懈可擊的、無缺點的
peccadillo,(n)輕罪、小過
impecunious,(adj)一文不值的、貧困的
peculate,(v)挪用、盜版
pecuniary,(adj)金錢的、錢財方面的
biped,(n)兩足的、兩腳動物
expediency,(n)方便、權宜之計、應急辦法;ex(出) + ped(腳) + iency
expedient,(adj)方便的、權宜的、應急的;ex(外) + ped(腳) + ient
expedite,(v)促進、加快過程;[類]hasten
inexpedient,(adj)不明智的、不適當的
expeditious,(adj)迅速的、敏捷的
impede,(v)妨礙、阻礙、阻止
impediment,(n)妨礙、障礙物
pedestrian,(n)步行者、行人;(adj)步行的；平淡的、缺乏想像的
pejorative,(adj)貶抑的、輕蔑的
peripatetic,(adj)流動的、到處走的;[類]itinerant;peri(周圍) + pat(=ped腳)
quadruped,(n)四足動物;quard(四) + u + ped(腳)
pedal,(n)踏板
pedagogic,(adj)教育學的、教學法的
pedant,(n)迂腐之人、書呆子
pedantic,(adj)賣弄學問的
pedantry,(n)迂腐
pediatrics,(n)小兒科
compelling,(adj)令人注目的、強制的
dispel,(v)驅散、消除
expel,(v)驅逐、趕走
impel,(v)推動、推進
propel,(v)推進、推;pro(前) + pel(推)
repel,(v)擊退、驅除
repellent,(adj)擊退的、令人厭惡的
pen,(n)（關禽，畜的）欄，圈；一欄家畜
penal,(adj)懲罰的、刑罰的
penalize,(v)對...處刑、規定...應處刑
penance,(n)(贖罪的)苦行、苦修
penitential,(adj)後悔的、懺悔的
appendage,(n)附屬物
compendious,(adj)簡要的、概略的
compendium,(n)簡略、概要
impend,(v)迫近、逼近、即將發生
impending,(adj)即將發生的、逼近的
penchant,(n)愛好、嗜好
pendent,(adj)吊著的、懸掛著的
pending,(adj)未定的、待定的
pendulous,(adj)下垂的
pendulum,(n)擺錘、鐘擺
pensive,(adj)沉思的、愁眉苦臉的
perpendicular,(adj)垂直的、成直角的;per(完全) + pend(掛) + ity
suspense,(n)掛念、擔心、懸念
compensatory,(adj)賠償的、補償的
dispense,(v)施予、分配、免除
dispensable,(adj)不必要的、可有可無的;dis(不) + pens(花費) + able
expenditure,(n)消費、支出
recompense,(v)報酬、賠償
personable,(adj)優雅的、貌美的
personage,(n)大人物、要人
personiication,(n)典型、化身、完美榜樣
impersonal,(adj)不受感情影響的
impersonate,(v)扮演、模仿
pester,(v)煩擾、糾纏
pestilent,(adj)致命的、要命的
pestilential,(adj)討厭的、瘟疫似的
appetizing,(adj)開胃的、刺激食慾的
centripetal,(adj)向心的;centri(中心) + pet(追求) + al
competence,(n)勝任、能力
impetuous,(adj)性急的、魯莽的、衝動的
impetus,(n)推動、促進
perpetual,(adj)永久的、連續不斷的;[類]permanent
petition,(n)請願、請願書
peulant,(adj)暴躁的、壞脾氣的;[類]peevish; irritable
propitious,(adj)有利的、吉祥的;[類]favorable; auspicious
petrify,(v)使石化、使嚇呆、僵化
petrology,(n)岩石學
diaphanous,(adj)精緻的、透明的;dia(穿過) + phan(呈現) + ous
ephemeral,(adj)朝生暮死的、生命短暫的[類]transitory; transient
euphemism,(n)委婉的說法
sycophant,(n)拍馬屁者;[類]fawner; flunky
hemophilia,(n)血友病、出血不止;hemo(血) + phil(愛) + a
philatelist,(n)集郵家
philately,(n)集郵
acrophobia,(n)懼高症;acro(高) + phobia(恐懼)
phobia,(n)恐懼症
xenophobe,(n)仇視外國者;xeno(外國人) + phob(恐懼) + e
xenophobia,(n)仇外、排外
cacophony,(n)雜音、不和諧音
cacophonous,(adj)發音不和諧的、不協調的
euphonious,(adj)悅耳的、聲音和諧的;eu(好) + phon(聲音) + ious
phonetic,(adj)發音的、語音的
phony,(adj)假的、欺騙的
aphorism,(n)格言、警句、箴言;[類]maxim; adage; axiom; dictum
euphoria,(n)心情愉快、興奮;eu(好) + phor(帶來) + ia
euphoric,(adj)心情愉快的、心滿意足的
photorespiration,(n)光合作用
photosensitive,(adj)感光的
photosynthesis,(n)光合作用
neophyte,(n)新手、新信徒;[類]tyro; beginner
xerophyte,(n)旱生植物;xero(乾燥) + phyte(植物)
expiate,(v)贖罪、補償;ex(出) + pi(虔誠) + ate
expiation,(n)贖罪、補償
inexpiable,(adj)不能補償的
piety,(n)孝順、孝敬
pious,(adj)虔誠的、盡責的
picturesque,(adj)圖畫般的、美麗的
capillary,(n)毛細管
capterpillar,(n)毛毛蟲
pinnacle,(n)尖頂、小尖塔
pinpoint,(n)準確地、尖針
complacence,(n)自滿、沾沾自喜
complacent,(adj)滿足的、自滿的;com(全部) + plac(平靜、滿足) + ent
complaisant,(adj)彬彬有禮的、柔順的;[類]obliging
placate,(v)撫慰、平息
placebo,(n)安慰劑、寬心丸
placid,(adj)安靜的、平和的
platitude,(n)平凡、陳腔濫調
supplant,(v)排擠、取代;sup(下面) + plant(栽種)
applaud,(v)鼓掌歡迎
implausible,(adj)難以置信的
laudatory,(adj)表示讚美的;[反]invective(謾罵的); execrable(可憎的); pejorative(輕蔑的);
plaudit,(n)拍手喝采、讚美
plea,(v)請求、懇求
pleading,(n)辯護、答辯; (adj)訴願的、懇求的
plenary,(adj)全體出席的
plenitude,(n)充分、完全;[類]abundance
pleonastic,(adj)冗言的、重複的;pleon(=plen,滿、多) + astic
replenish,(v)補充、再充滿
plethora,(n)過量、過剩
replete,(adj)充滿的、裝滿的
compliance,(n)遵從、順從
pliable,(adj)柔軟的、易彎的
pliant,(adj)易受影響的、易彎曲的;[類]supple
pliers,(n)鑷子、鉗子
accomplice,(n)同謀者、幫兇;ac + com(共同) + plic(重疊) + e
duplicitous,(adj)奸詐的、騙人的;[類]deception
explicable,(adj)可解釋的、可辨明的
explicate,(v)解釋、闡述
inexplicable,(adj)無法說明的
suppliant,(adj)懇求的、哀求的
supplicant,(n)懇求者、乞求者
supplicate,(v)懇求、乞求;sup(下面) + plic(折疊) + e
implode,(v)內爆、劇減
deplore,(v)對..深感遺憾、哀嘆
implore,(v)哀求、懇求
podiatrist,(n)足科醫師
podium,(n)講台、指揮台
tripod,(n)三腳架;tri(三) + pod(腳)
extrapolate,(v)推斷;extra(外面) + pol(放) + ate
interpolate,(v)插入、竄改;inter(在..中間) + pol(放) + ate
apolitical,(adj)非政治的、不關心政治的
impolitic,(adj)不明智的
politic,(adj)明智的、精明的、不擇手段的;[類]prudent 審慎的
pompous,(adj)浮華的、愛炫耀的;[類]arrogant; bombastic
pontificate,(v)自以為是地發表意見
ponderable,(adj)有重量的、有價值的
ponderous,(adj)笨重的、笨拙的；(文章、談話)沉悶的、乏味的
preponderant,(adj)優勢的、壓倒性的
preponderate,(v)壓倒、超過
imponderable,(adj)無法衡量的
comport,(v)舉動、舉止
deport,(v)驅逐(出境)、具...舉止
deportment,(n)儀態、舉止、風度;[類]bearing
disport,(v)玩耍、嬉戲
importune,(v)向...強求;[類]besiege
opportune,(adj)恰好的、適宜的
purport,(v)意旨、聲稱;pur(=pro向前) + port(拿)
apposite,(adj)適當的、貼切的
composed,(adj)鎮靜的、沉著的
compost,(n)混合物、堆肥
composure,(n)平靜、鎮靜
decompose,(v)分解、腐爛
depose,(v)罷免、廢王位
deposition,(n)放假、使沉積
disposable,(adj)免洗的、可動用的
disposition,(n)處理、天性
discompose,(v)使失態、慌張
exposition,(n)闡述、說明
expository,(adj)說明的、評註的
impose,(v)徵(稅)、加(負擔)
imposing,(adj)壯麗的、宏偉的
impostor,(n)冒充者、騙子
imposture,(n)詐欺
interpose,(v)置於...之間、介入
juxtapose,(v)並列、並置
juxtaposition,(n)並列、並置
poseur,(n)裝模作樣的人
posit,(v)斷定、認為;[類]suggest; assume; postulate
predisposition,(n)傾向
proposition,(n)提議、建議
recompose,(v)修改、改編
repose,(v)躺著休息、安睡
repository,(n)容器、儲藏處、寶庫
superimpose,(v)加在上面
symposium,(n)討論會、座談會
transpose,(v)變換位置、調換
despot,(n)專制君主、暴君
despotic,(adj)暴君的、專橫的
despotism,(n)專政、暴政;[類]tyranny
omnipotent,(adj)全能的、萬能的
potent,(adj)強而有力的、有影響的
potentiate,(v)加強(力量、效果)
deprave,(v)使墮落、惡化;de(向下) + prave(壞)
depraved,(adj)惡化的、墮落的
depravity,(n)墮落、惡習
deprecate,(v)反對、輕視
deprecation,(n)反對
deprecatory,(adj)不贊同的
imprecation,(n)詛咒;[類]oath; curse
precarious,(adj)不穩的、危險的
self-deprecating,(adj)自貶的
appreciable,(adj)可察覺到的
inappreciable,(adj)微不足道的
depreciate,(v)降低...的價值(或亞格)
depredation,(n)掠奪、蹂躪
apprehend,(v)理解；逮捕；恐懼
apprehensive,(adj)憂鬱的、恐懼的
prehensile,(adj)能抓東西的、能禪澳東西的
reprehend,(v)申斥、指責;[類]reprimand
reprehensible,(adj)應受譴責的
depressant,(adj)有鎮靜劑作用的、鎮定劑
impressionable,(adj)敏感的、易受影響的
repress,(v)壓抑、抑制、鎮壓;[類]restrain; suppress
repressed,(adj)被壓制的、被壓抑的
repressive,(adj)壓制的、壓抑的
primal,(adj)最初的、原始的
primate,(n)(地區內)最高階的主教；靈長類動物[類]archbishop
primitive,(adj)原始的、遠古的、基本的
primordial,(adj)原始的、最初的
pristine,(adj)原始的、清新的、純樸的[類]unspoilt
privation,(n)喪失、貧困
privy,(adj)個人的、私人的
foolproof,(adj)容易的、簡單的
soundproof,(adj)隔音的
fireproof,(adj)防火的
approbation,(n)稱讚、認可、批准
approbatory,(adj)稱讚的、認可的;[類]approving; sanctioning
disappobation,(n)反對、責備、不贊成;[類]disapproval
disproof,(n)反對、反駁
disprove,(v)證明..是假的、博
probity,(n)誠實、廉潔
proofread,(v)校對、校勘
reproof,(n)責備、指責
reprove,(v)告誡、好言相勸;[類]admonish
propagate,(v)繁殖、傳播、宣傳
propagation,(n)繁殖、增值、宣傳
propaganda,(n)政治宣傳
apropos,(adj/adv)適當的(地)、恰當的(地)
expropriate,(v)徵收、沒收
malapropism,(n)文字誤用
proprietary,(adj)私有的
propriety,(n)禮節、適當
impropriety,(n)不得體的言行舉止、不合適
prosaic,(adj)乏味的、散文的
prosaist,(n)散文家、平凡的人
prose,(n)散文、散文體
imprudent,(adj)不謹慎的、輕率的、魯莽的
prude,(n)過分守禮的人、老古板
prudish,(adj)裝規矩的、過分拘謹的
psyche,(n)心靈、精神
impudent,(adj)魯莽的、無禮的
repudiate,(v)拒絕、拋棄;[類]disaffirm; contradict
repudiation,(n)拒絕接受
impugn,(v)指責、對..表示懷疑
pugnacious,(adj)愛爭吵的、愛鬥爭的
pugilism,(n)拳擊、搏擊
pugilist,(n)拳擊手
repugnance,(n)反感、厭惡
repugnant,(adj)厭惡的、反感的
cnvulse,(v)使振動、震驚
convulsion,(n)抽蓄、驚厥
expulsion,(n)驅逐、開除
propulsion,(n)推進力
pulsate,(v)悸動、脈動
pulsation,(n)脈動、跳動
repulse,(v)擊退、驅逐
repulsion,(n)反感、厭惡
revulsion,(n)厭惡、憎惡、(感情的)劇變
acupuncture,(n)針灸
compunction,(n)懊悔、良心不安
expunge,(v)除去、刪去;ex(出) + pung(刺) + e
punctilious,(adj)精密細心的、一絲不苟的
punctual,(adj)準時的、守時的
puncture,(n)刺穿、刺破
pungent,(adj)有刺激性的、辣的
expurgate,(v)刪除、使純潔
purgative,(adj)淨化的;(n)瀉藥
purgatory,(n)滌罪
purge,(v)清洗、洗滌
unexpurgated,(adj)未刪除的、完整的
empyreal,(adj)天堂的
pyre,(n)火葬用的柴堆
queer,(adj)奇怪的、古怪的
quirky,(adj)離奇的、古怪的
quirkiness,(n)離奇、古怪
acquiesce,(v)勉強同意、默許
acquiescence,(n)默許、默認
quiescence,(n)靜止、沉默、沉寂
quiescent,(adj)靜止的、沉默的
tranquil,(adj平靜的、安靜的
abrade,(v)磨損、刮除;ab(離開) + rad(摩擦) + e
abrasive,(adj)有研磨、磨蝕作用的
deracinate,(v)根除、杜絕;[類]uproot
eradicate,(v)根絕、撲滅
iradicable,(adj)不能根除的
irascible,(adj)易怒的、暴躁的
irate,(adj)發怒的、生氣的;[類]wrathful; incensed; enraged
raze,(v)拆毀、夷平;[類]demolish
irradiate,(v)使明亮、照亮；啟發；照射
radiant,(adj)光芒四射的
rapacious,(ad)搶奪的、貪婪的
rapscallion,(n)流氓、惡棍
raptorial,(adj)食肉的、兇猛的
rapt,(adj)專心致志的、全神貫注的
enrapture,(v)使狂喜、高興
erect,(adj)豎立的、直立的
insurrection,(n)造反、叛亂
rectify,(v)矯正、改正
rectitude,(n)公正、正直
resurrect,(v)使復活、復甦;[類]reanimate; recharge;
interregnum,(n)空位期、無王時期;inter(在..中間)+ reg(統治)+ num
regal,(adj)帝王的、王室的
regent,(n)攝政者、攝政王
regiment,(n)軍團、嚴密管制
regimental,(adj)團隊的
reign,(n)統治、支配
reigning,(adj)在位的、統治的
rein,(n/v)駕馭、統治；韁繩、勒住
sovereign,(n)最高統治者、元首
reptile,(n)爬蟲類
reptilian,(adj)爬蟲類的；卑下的
subreption,(n)隱瞞真相、歪曲事實
surreptitious,(adj)秘密的、偷偷摸摸的
arrhythmic,(adj)無節奏的、不規則的;a(無) + r + rhythm(節奏) + ic
deride,(v)嘲笑、嘲弄;[類]mock; scorn
derisive,(adj)嘲笑的
ridicule,(v)奚落、嘲笑
rigor,(n)嚴格、嚴苛、精確;[類]severity
rigorous,(adj)嚴格的、嚴峻的;[類]severe; strict
derivative,(adj)非原創的、衍生的
rife,(adj)充斥著的、大量的
riveting,(adj)有吸引力的、引人入勝的;[類]engrosing
corroborate,(v)證實、確證
corroboration,(n)證實、確證
robust,(adj)強健的、茁壯的;[類]vigorous; healthy
corrode,(v)腐蝕、侵蝕
corrosive,(adj)腐蝕性的
erode,(v)侵蝕、受到侵蝕
abrogate,(v)廢止、廢除;ab(脫離) + rog(要求) + ate
arrogate,(v)冒稱、霸佔
derogate,(v)貶低、誹謗;[類]detract from ...
derogatory,(adj)不敬的、貶損的
interrogate,(v)訊問、審訊;inter(互相) + rog(詢問) + ate
prerogative,(n)特權;pre(預先) + rog(要求) + tive
prorogue,(n)休會、延期
supererogatory,(adj)職責以外的、多餘的;super(超過) + rog(要求) + atory
surrogate,(n)代替品、代理人
rote,(n)死背硬記、機械式地做法
rotund,(adj)圓胖的、(聲音)宏亮的
erudite,(adj)博學的;e(出) + rud(無知) + ite
erudition,(n)博學、學識
rudimentary,(adj)基本的、初步的
corrugate,(v)起波浪形狀、起皺紋
corrugated,(adj)起皺紋的;[類]folded; wrinkled; furrowed
shrug,(v)聳肩
disrupt,(v)使分裂、瓦解
rupture,(n)斷裂
consecrate,(v)用作祭祀、獻給
desecrate,(n)玷汙、褻瀆
execrable,(adj)可憎恨的、惡劣的
execrate,(v)憎恨、詛咒;ex(出) + secr(神聖) + ate
sacrament,(n)聖禮、聖典
sacred,(adj)神聖的、莊嚴的
sacrilege,(v)褻瀆、冒犯神靈;sacri(神聖) + leg(聚集) + e
sacrilegious,(adj)褻瀆神明的、應該受天譴的;[類]desecrating; profane
sacrosanct,(adj)神聖不可侵犯的
desalinize,(v)去鹽分;de(外) + sal(鹽分) + inize
saliferous,(adj)含鹽的、產鹽的;sal(鹽) + i + fer(帶來) + ous
saline,(adj)含鹽的、鹹的
salubrious,(adj)有益健康的、清爽的
salutary,(adj)有意的、有益健康的
salutation,(n)招呼、致意、敬禮
salute,(n)行舉手禮、向..致敬
assail,(v)抨擊、猛攻
assault,(n)猛襲、突然襲擊
desultory,(adj)無計畫的、無目的的、不連貫的、散漫的;[類]digressive; excursive; meandering; rambling; wandering
exult,(v)狂喜、狂歡鼓舞
exultant,(adj)狂喜的、歡欣鼓舞的;[類]exulting; triumphant
salient,(adj)顯著的、突出的;[類]conspicuous
sanatorium,(n)療養院、休養院
sanitary,(adj)衛生的、清潔的
insane,(adj)精神病的、神經錯亂的
sane,(adj)神智清楚的、明智的
sanity,(n)精神正常、健全
sanctify,(v)使神聖化
sanctimonious,(adj)假裝虔誠的、聖潔的;sanct(神聖的) + moni(模擬)
sanction,(n)認可、批准、國際制裁
sanctuary,(n)聖地、庇護所
sanctum,(n)聖索、密室;[類]holy place
sangforid,(n)沉著、冷靜
sanguine,(adj)自信樂觀的
insatiable,(adj)不知足的、貪得無厭的
sate,(v)使心滿意足、厭膩
sated,(adj)過飽的、充分滿足的
satiate,(v)使飽足
saturated,(adj)滲透的、飽和的
sagacious,(adj)睿智的、聰明的
savant,(n)學者、專家
savvy,(n)有見識、精明能幹
escalate,(v)升級、擴大、上升
escalation,(n)逐步上升、擴大
upscale,(v)升檔、迎合、升高一級
ascendancy,(n)統治權、支配的力量
ascent,(n)上升、攀登、上坡
condescend,(v)輕慢、懷著優越感;不擺架子
condescending,(adj)屈尊
descendant,(n)後代、後裔
descent,(v)降落、侵襲、血統
slander,(n)誹謗、詆毀;[類]defame
transcend,(v)超越、超過;trans(超國) + scend(爬)
transcendent,(adj)超越的、卓越的
transcendental,超鮮豔的、超越經驗的
